Vivado Simulator 2018.3
Time resolution is 1 ps
          0,     0
          1,     4
          2,     0
          3,     0
          4,     0
          5,     0
          6,     0
          7,     0
          0,     0
          1,     4
          2,     0
          3,     0
          4,     0
          5,     0
          6,     0
          0,     3
          1,     0
          2,     0
          3,     0
          4,     0
          5,     0
          6,     0
          7,     0
          0,     3
          0,     7
          1,    14
          2,    28
          3,     0
          4,     0
          5,     0
          6,     0
          7,     0
          0,     7
          1,    14
          0,     5
          1,     0
          2,    20
          3,     0
          4,     0
          5,     0
          6,     0
          7,     0
          0,     5
          1,     0
          0,     1
          1,     0
          2,     0
          3,     0
          4,     0
          5,     0
          6,     0
          7,     0
          0,     1
          1,     0
